Company,Weight,Ticker,Headquarters,GICS Sector,GICS Sub-Industry
AO Smith Corp.,0.04,AOS,"Milwaukee, Wisconsin",Industrials,Building Products
Avery Dennison Corp.,0.04,AVY,"Mentor, Ohio",Materials,Paper & Plastic Packaging Products & Materials
"Snap-on,Inc.",0.04,SNA,"Kenosha, Wisconsin",Industrials,Industrial Machinery & Supplies & Components
Hormel Foods Corp.,0.039,HRL,"Austin, Minnesota",Consumer Staples,Packaged Foods & Meats
"Harley-Davidson, Inc.",0.039,HOG,"Milwaukee, WI",Consumer Cyclical,Recreational Vehicles
"Akamai Technologies, Inc.",0.039,AKAM,"Cambridge, Massachusetts",Information Technology,Internet Services & Infrastructure
Goodyear Tire & Rubber Co.,0.039,GT,"Akron, OH",Consumer Cyclical,Auto Parts
Tractor Supply Co.,0.039,TSCO,"Brentwood, Tennessee",Consumer Discretionary,Other Specialty Retail
Sealed Air Corp.,0.039,SEE,"Charlotte, NC",Consumer Cyclical,Packaging & Containers
Leucadia National Corp.,0.038,LUK,"New York, NY",Financials,Multi-Sector Holdings
"NiSource, Inc.",0.038,NI,"Merrillville, Indiana",Utilities,Multi-Utilities
"Interpublic Group of Cos., Inc.",0.038,IPG,"New York, NY",Communication Services,Advertising
Allegion PLC,0.038,ALLE,"Dublin, Ireland",Industrials,Building Products
Kimco Realty Corp. REIT,0.038,KIM,"Jericho, New York",Real Estate,Retail REITs
"CF Industries Holdings, Inc.",0.038,CF,"Deerfield, Illinois",Materials,Fertilizers & Agricultural Chemicals
"Scripps Networks Interactive, Inc. Class A",0.037,SNI,"Knoxville, TN",Communication Services,Broadcasting
Kohl’s Corp.,0.037,KSS,"Menomonee Falls, WI",Consumer Cyclical,Department Stores
"NRG Energy, Inc.",0.037,NRG,"Houston, Texas",Utilities,Independent Power Producers & Energy Traders
"PulteGroup, Inc.",0.036,PHM,"Atlanta, Georgia",Consumer Discretionary,Homebuilding
"F5 Networks, Inc.",0.036,FFIV,"Seattle, Washington",Information Technology,Communications Equipment
"Coty, Inc. Class A",0.036,COTY,"New York, NY",Consumer Defensive,Household & Personal Products
"Chipotle Mexican Grill, Inc.",0.036,CMG,"Newport Beach, California",Consumer Discretionary,Restaurants
Mosaic Co.,0.035,MOS,"Tampa, Florida",Materials,Fertilizers & Agricultural Chemicals
"PerkinElmer, Inc.",0.034,RVTY,"Waltham, Massachusetts",Health Care,Health Care Equipment
"Acuity Brands, Inc.",0.034,AYI,"Atlanta, GA",Industrials,Electrical Equipment & Parts
"Michael Kors Holdings, Ltd.",0.034,CPRI,"London, United Kingdom",Consumer Cyclical,Luxury Goods
"Advance Auto Parts, Inc.",0.033,AAP,"Raleigh, NC",Consumer Cyclical,Auto Parts
AES Corp.,0.033,AES,"Arlington, Virginia",Utilities,Independent Power Producers & Energy Traders
Xerox Corp.,0.033,XRX,"Norwalk, CT",Industrials,Business Equipment & Supplies
"Jacobs Engineering Group, Inc.",0.033,J,"Dallas, Texas",Industrials,Construction & Engineering
SCANA Corp.,0.032,SCG,"Cayce, SC",Utilities,Multi-Utilities
Apartment Investment & Management Co. Class A REIT,0.031,AIV,"Denver, CO",Real Estate,REIT - Residential
"Macy’s, Inc.",0.031,M,"New York, NY",Consumer Cyclical,Department Stores
"Gap, Inc.",0.03,GAP,"San Francisco, CA",Consumer Cyclical,Apparel Retail
"Robert Half International, Inc.",0.03,RHI,"Menlo Park, CA",Industrials,Staffing & Employment Services
"Leggett & Platt, Inc.",0.03,LEG,"Carthage, MO",Consumer Cyclical,"Furnishings, Fixtures & Appliances"
"People’s United Financial, Inc.",0.029,PBCT,"Bridgeport, CT",Financials,Regional Banks
"Garmin, Ltd.",0.029,GRMN,"Schaffhausen, Switzerland",Consumer Discretionary,Consumer Electronics
"Brighthouse Financial, Inc.",0.028,BHF,"Charlotte, NC",Financial Services,Insurance - Life
"Stericycle, Inc.",0.028,SRCL,"Bannockburn, IL",Industrials,Environmental & Facilities Services
Macerich Co. REIT,0.028,MAC,"Santa Monica, CA",Real Estate,REIT - Retail
Newfield Exploration Co.,0.027,NFX,"The Woodlands, TX",Energy,Oil & Gas Exploration & Production
Fluor Corp.,0.027,FLR,"Irving, TX",Industrials,Engineering & Construction
"Quanta Services, Inc.",0.026,PWR,"Houston, Texas",Industrials,Construction & Engineering
"Helmerich & Payne, Inc.",0.026,HP,"Tulsa, OK",Energy,Oil & Gas Drilling
"H&R Block, Inc.",0.025,HRB,"Kansas City, MO",Consumer Cyclical,Personal Services
"Nordstrom, Inc.",0.025,JWN,"Seattle, WA",Consumer Discretionary,Department Stores
Flowserve Corp.,0.025,FLS,"Irving, TX",Industrials,Specialty Industrial Machinery
"Assurant, Inc.",0.025,AIZ,"Atlanta, Georgia",Financials,Multi-line Insurance
"CSRA, Inc.",0.025,CSRA,"Falls Church, VA",Information Technology,IT Consulting & Other Services
"FLIR Systems, Inc.",0.024,FLIR,"Wilsonville, OR",Information Technology,Electronic Equipment & Instruments
Envision Healthcare Corp.,0.024,EVHC,"Nashville, TN",Health Care,Health Care Facilities
"Mattel, Inc.",0.024,MAT,"El Segundo, CA",Consumer Cyclical,Leisure
Ralph Lauren Corp.,0.023,RL,"New York City, New York",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
News Corp. Class A,0.023,NWSA,"New York City, New York",Communication Services,Publishing
"Foot Locker, Inc.",0.022,FL,"New York, NY",Consumer Discretionary,Apparel Retail
"TripAdvisor, Inc.",0.021,TRIP,"Needham, MA",Consumer Cyclical,Travel Services
Navient Corp.,0.021,NAVI,"Herndon, VA",Financial Services,Credit Services
Range Resources Corp.,0.021,RRC,"Fort Worth, TX",Energy,Oil & Gas E&P
"Discovery Communications, Inc. Class C",0.02,DISCA,"Silver Spring, MD",Communication Services,Broadcasting
"Signet Jewelers, Ltd.",0.019,SIG,"Hamilton, Bermuda",Consumer Cyclical,Luxury Goods
Chesapeake Energy Corp.,0.018,CHKAQ,"Oklahoma City, OK",Energy,Oil & Gas Exploration & Production
"Patterson Cos., Inc.",0.015,PDCO,"St. Paul, MN",Health Care,Health Care Care Products
"Discovery Communications, Inc. Class A",0.015,DISCA,"Silver Spring, MD",Communication Services,Broadcasting
"Under Armour, Inc. Class A",0.014,UA,"Baltimore, MD",Consumer Cyclical,Apparel Manufacturing
"Under Armour, Inc. Class C",0.013,UA,"Baltimore, MD",Consumer Cyclical,Apparel Manufacturing
News Corp. Class B,0.007,NWSA,"New York City, New York",Communication Services,Publishing
